artist_name,artist_popularity,artist_followers
bbno$,77.5,2730121.0
bea miller,62.0,3072874.0
beabadoobee,78.0,6529086.0
beach bunny,65.0,1856763.0
beach house,72.0,2804746.0
beach weather,65.0,1005606.0
bear mccreary,59.0,241512.0
beatline,20.0,475.0
beau young prince,41.0,21939.0
beauz,58.0,210955.0
bebe rexha,75.6,9839947.0
becky g,74.0,16646605.0
becky hill,68.0,925156.0
bedroom,52.0,316990.0
bee gees,76.0,9347176.0
bella poarch,60.0,1409523.0
ben cocks,47.0,28254.0
ben e. king,65.0,711539.0
benee,62.0,869770.0
beneld,53.0,19064.0
benjamin wallfisch,55.0,34214.0
benji,55.0,3650.0
benniee,16.0,104.0
benny benassi,63.0,608571.0
benny blanco,72.33333333333333,1628440.0
benson boone,83.0,7055537.0
bernard herrmann,49.0,85478.0
besomage,50.0,12555.0
besomorph,58.0,146969.0
bethy,18.0,824.0
betoko,35.0,50222.0
between friends,61.0,325311.0
bexey,46.0,194007.0
beyazz,53.0,185289.0
beyoncé,84.0,41180800.0
beyond the guitar,35.0,24505.0
big & rich,56.0,1257253.0
big boss vette,51.0,126108.0
big jude,8.0,13.0
big red machine,52.0,299845.0
big sean,74.0,11543082.0
big swapp,22.0,32.0
bigxthaplug,79.0,2059774.0
bikini kill,47.0,612260.0
bill brown,41.0,9786.0
bill elm,39.0,3839.0
bill elm & woody jackson,0.0,4947.0
bill withers,71.0,2005746.0
billie eilish,90.0,118797451.0
billie marten,57.0,356342.0
billy currington,65.0,2759283.0
billy idol,71.0,2462227.0
billy joel,78.0,7402824.0
birdy,68.0,3737266.0
bishop briggs,61.0,963894.0
bizarrap,76.0,18192021.0
bj lips,63.0,164335.0
björk,67.33333333333333,2456720.0
bl3ss,66.0,52913.0
bl8m,60.0,183597.0
black box recorder,56.0,164398.0
black eyed peas,81.0,9563308.0
black lips,40.0,166440.0
black m,53.0,1995684.0
black pistol fire,48.0,234627.0
black rebel motorcycle club,51.0,585934.0
black rob,48.0,243907.0
black sabbath,75.0,9781962.0
blackbear,71.0,5067774.0
blackpink,81.0,56178946.0
blackstreet,62.0,997137.0
blake neely,45.0,33375.0
blake shelton,69.0,7507062.0
blasterjaxx,61.0,847354.0
blink-182,75.8,9291705.0
blocboy jb,53.0,1434846.0
blood orange,71.0,1339928.0
bloodhound gang,62.0,1114997.0
blu cantrell,60.0,363740.0
blue foundation,53.0,154658.0
blue man,28.0,3312.0
blue öyster cult,64.0,1717249.0
blur,68.0,3924846.0
blxst,64.0,576932.0
bo burnham,63.0,2078961.0
bo diddley,44.0,333376.0
bob dylan,73.0,7364138.0
bobby shmurda,56.0,1603613.0
bobi andonov,38.0,27646.0
bombvy,13.0,119.0
bon iver,76.0,3942679.0
bon jovi,78.0,15810313.0
bonalt & hadi,15.0,425.0
bone thugs-n-harmony,64.0,3304029.0
bones,71.0,1958141.0
boney m.,69.0,2318871.0
bonnie tyler,68.0,2413522.0
bonzie,29.5,28413.0
booker t. & the m.g.'s,54.0,339450.0
borislav slavov,56.0,55249.0
boston,65.0,3174703.0
boy harsher,52.0,406556.0
boys noize,57.0,312847.0
boyshegz,7.0,3.0
boyz n da hood,40.0,679564.0
brad breeck,41.0,23039.0
brad paisley,64.0,2898444.0
bran,47.0,9575.0
brantley gilbert,63.0,3029394.0
breakfast for joey,23.0,114.0
breaking benjamin,71.0,5155421.0
brent faiyaz,80.0,7897022.0
brett eldredge,56.0,1494124.0
brian eno,60.0,829906.0
brian tyler,56.0,218901.0
bridgit mendler,59.0,1320576.0
briezman,23.0,445.0
bring me the horizon,77.0,6632477.0
britney manson,57.0,461945.0
britney spears,80.625,17773300.0
broken bells,52.0,623266.0
bronski beat,60.0,668137.0
brooke star,10.0,60.0
brooks & dunn,70.0,3338052.0
brothers osborne,58.0,1271823.0
bruce springsteen,76.0,7318208.0
bruklin,40.0,4550.0
bruno chosen,2.0,107.0
bruno mars,89.56896551724138,75513910.0
bryan adams,75.0,4781161.0
bryce fox,48.0,178158.0
bryson tiller,80.0,10566213.0
bts,85.0,81197976.0
buddy miles,35.0,59521.0
bunt.,69.0,293734.0
bury,52.0,21811.0
busta rhymes,70.0,3167026.0
byor,60.0,38969.0
bôa,68.0,1188508.0
børns,65.0,1373229.0
cabuizee,25.0,6886.0
caddy,38.0,966.0
cadmium,47.666666666666664,74067.0
cage the elephant,73.0,4298554.0
cailin russo,49.0,40675.0
cairokee,60.0,4299545.0
cake,61.0,1312426.0
calum scott,73.0,6168229.0
calvin harris,84.0,23079295.0
camila cabello,78.0,35582423.0
camilla sun,6.0,3.0
camilo,78.0,20454854.0
candi staton,55.0,123997.0
capital cities,65.0,996785.0
cardi b,81.0,25960760.0
carl anderson,39.0,9152.0
carl moon,32.0,1321.0
carl orff,50.0,76720.0
carlie hanson,45.0,470367.0
carlos rafael rivera,48.0,20284.0
carlos vives,72.0,6795970.0
carly rae jepsen,70.0,5140332.0
carly simon,61.0,1287167.0
carmen twillie,48.0,14343.0
carnage,47.0,307529.0
caroline polachek,67.0,650534.0
carrie underwood,68.0,6125781.0
cartoon,59.0,258460.0
carwash,44.0,99448.0
carys,47.0,99069.0
cascada,65.0,615439.0
cassanova,15.0,13588.0
cassie,66.0,1898249.0
cassö,64.0,91131.0
casual sex,37.0,9183.0
cat power,53.0,793083.0
catfish and the bottlemen,62.0,1176765.0
cathedrals,32.0,42600.0
catlea,23.0,55684.0
cecilia krull,45.0,74230.0
ceelo green,69.0,721855.0
celeste,63.0,703644.0
central cee,79.0,9676425.0
chad brock,29.0,47234.0
chamillionaire,57.0,1016915.0
chance peña,70.0,578910.0
chance the rapper,74.0,6033166.0
chance thomas,34.0,4430.0
chappell roan,82.0,7310428.0
charles & eddie,52.0,41369.0
charles kelley,39.0,25472.0
charli xcx,82.0,6322030.0
charlie peacock and les chanteuses,5.0,221.0
charlie puth,79.47619047619048,25310805.0
charlie walker,29.0,10863.0
charlotte de witte,60.0,1214137.0
charlotte lawrence,53.0,1178526.0
chase atlantic,79.0,10472219.0
chase matthew,64.0,468383.0
chase rice,56.0,1251973.0
chaël,37.0,6268.0
cheat codes,62.333333333333336,2101848.0
chelan,35.0,11991.0
cheyanne,49.0,19227.0
chicago city,21.0,730.0
childish gambino,78.0,14561716.0
chipz,39.0,22403.0
chloe adams,52.0,198548.0
chloe isabella,10.0,212.0
chlöe,56.0,653844.0
chord overstreet,60.0,425593.0
chris brown,87.0,28338976.0
chris gold,21.0,3925.0
chris grey,72.0,968416.0
chris isaak,68.0,742237.0
chris janson,56.0,438451.0
chris lane,53.0,1045334.0
chris stapleton,81.0,9020741.0
chris wenner,23.0,2055.0
chris young,65.0,2918794.0
christian kennedy,14.0,297.0
christian ray taylor,2.0,10.0
